sku,codice_prodotto,nome_capo,taglia,colore,stock_disponibile,fonte
HEE-IMPERIA-M-NER,HEE-042,Imperia,M,NERO,0,inventario
HEE-IMPERIA-L-NER,HEE-042,Imperia,L,NERO,2,inventario
HEE-IMPERIA-S-PIO,HEE-042,Imperia,S,PIOMBO,1,inventario
HEE-IMPERIA-M-PIO,HEE-042,Imperia,M,PIOMBO,1,inventario
HEE-IMPERIA-L-PIO,HEE-042,Imperia,L,PIOMBO,1,inventario
HEE-IMPERIA-S-SLV,HEE-042,Imperia,S,SALVIA,1,inventario
HEE-IMPERIA-M-SLV,HEE-042,Imperia,M,SALVIA,1,inventario
HEE-IMPERIA-L-SLV,HEE-042,Imperia,L,SALVIA,2,inventario
HEE-IMPERIA-S-CAM,HEE-042,Imperia,S,CAMMELLO,0,inventario
HEE-IMPERIA-M-CAM,HEE-042,Imperia,M,CAMMELLO,2,inventario
HEE-IMPERIA-L-CAM,HEE-042,Imperia,L,CAMMELLO,3,inventario
HEE-ISLANDA-S-VER,HEE-043,Islanda,S,VERDE,0,inventario
HEE-ISLANDA-M-VER,HEE-043,Islanda,M,VERDE,5,inventario
HEE-ISTANBUL-M-NER,HEE-044,Istanbul,M,NERO,1,inventario
HEE-JULY-S-NER,HEE-045,July,S,NERO,2,inventario
HEE-JULY-M-NER,HEE-045,July,M,NERO,3,inventario
HEE-JULY-L-NER,HEE-045,July,L,NERO,0,inventario
HEE-JULY-XL-NER,HEE-045,July,XL,NERO,0,inventario
HEE-JULY-S-SLV,HEE-045,July,S,SALVIA,1,inventario
HEE-JULY-M-SLV,HEE-045,July,M,SALVIA,2,inventario
HEE-JULY-L-SLV,HEE-045,July,L,SALVIA,1,inventario
HEE-JULY-XL-SLV,HEE-045,July,XL,SALVIA,0,inventario
HEE-JULY-S-PIO,HEE-045,July,S,PIOMBO,2,inventario
HEE-JULY-M-PIO,HEE-045,July,M,PIOMBO,1,inventario
HEE-JULY-L-PIO,HEE-045,July,L,PIOMBO,2,inventario
HEE-JULY-XL-PIO,HEE-045,July,XL,PIOMBO,0,inventario
HEE-JULY-S-CAM,HEE-045,July,S,CAMMELLO,0,inventario
HEE-JULY-M-CAM,HEE-045,July,M,CAMMELLO,1,inventario
HEE-JULY-L-CAM,HEE-045,July,L,CAMMELLO,1,inventario
HEE-JULY-XL-CAM,HEE-045,July,XL,CAMMELLO,1,inventario
HEE-JULY-S-CIO,HEE-045,July,S,CIOCCOLATO,0,inventario
HEE-JULY-M-CIO,HEE-045,July,M,CIOCCOLATO,2,inventario
HEE-JULY-L-CIO,HEE-045,July,L,CIOCCOLATO,1,inventario
HEE-JULY-XL-CIO,HEE-045,July,XL,CIOCCOLATO,0,inventario
HEE-JULY-S-CRE,HEE-045,July,S,CREMA,1,inventario
HEE-JULY-M-CRE,HEE-045,July,M,CREMA,1,inventario
HEE-JULY-L-CRE,HEE-045,July,L,CREMA,0,inventario
HEE-JULY-XL-CRE,HEE-045,July,XL,CREMA,0,inventario
HEE-JULY-S-BIA,HEE-045,July,S,BIANCO,0,inventario
HEE-JULY-M-BIA,HEE-045,July,M,BIANCO,0,inventario
HEE-JULY-L-BIA,HEE-045,July,L,BIANCO,1,inventario
HEE-JULY-XL-BIA,HEE-045,July,XL,BIANCO,0,inventario
HEE-JULY-S-SLM,HEE-045,July,S,SALMONE,1,inventario
HEE-JULY-M-SLM,HEE-045,July,M,SALMONE,0,inventario
HEE-JULY-L-SLM,HEE-045,July,L,SALMONE,0,inventario
HEE-JULY-XL-SLM,HEE-045,July,XL,SALMONE,0,inventario
HEE-LIONE-XS-PIO,HEE-046,Lione,XS,PIOMBO,1,inventario
HEE-LIONE-M-PIO,HEE-046,Lione,M,PIOMBO,0,inventario
HEE-LIONE-XL-PIO,HEE-046,Lione,XL,PIOMBO,1,inventario
HEE-LIONE-XS-NER,HEE-046,Lione,XS,NERO,1,inventario
HEE-LIONE-M-NER,HEE-046,Lione,M,NERO,1,inventario
HEE-LIONE-XL-NER,HEE-046,Lione,XL,NERO,1,inventario
HEE-LIONE-XS-BIA,HEE-046,Lione,XS,BIANCO,1,inventario
HEE-LIONE-M-BIA,HEE-046,Lione,M,BIANCO,1,inventario
HEE-LIONE-XL-BIA,HEE-046,Lione,XL,BIANCO,0,inventario
HEE-LIONE-XS-SAL,HEE-046,Lione,XS,SALMONE,1,inventario
HEE-LIONE-M-SAL,HEE-046,Lione,M,SALMONE,0,inventario
HEE-LIONE-XL-SAL,HEE-046,Lione,XL,SALMONE,1,inventario
HEE-LIONE-XS-VER,HEE-046,Lione,XS,VERDE,1,inventario
HEE-LIONE-M-VER,HEE-046,Lione,M,VERDE,1,inventario
HEE-LIONE-XL-VER,HEE-046,Lione,XL,VERDE,0,inventario
HEE-LIONE-XS-CRE,HEE-046,Lione,XS,CREMA,1,inventario
HEE-LIONE-M-CRE,HEE-046,Lione,M,CREMA,0,inventario
HEE-LIONE-XL-CRE,HEE-046,Lione,XL,CREMA,2,inventario
HEE-LIONE-XS-CAM,HEE-046,Lione,XS,CAMMELLO,1,inventario
HEE-LIONE-M-CAM,HEE-046,Lione,M,CAMMELLO,1,inventario
HEE-LIONE-XL-CAM,HEE-046,Lione,XL,CAMMELLO,1,inventario
HEE-LIONE-XS-CIO,HEE-046,Lione,XS,CIOCCOLATO,1,inventario
HEE-LIONE-M-CIO,HEE-046,Lione,M,CIOCCOLATO,1,inventario
HEE-LIONE-XL-CIO,HEE-046,Lione,XL,CIOCCOLATO,1,inventario
HEE-LIONE-XS-GRI,HEE-046,Lione,XS,GRIGIO T.F,0,inventario
HEE-LIONE-M-GRI,HEE-046,Lione,M,GRIGIO T.F,2,inventario
HEE-LIONE-XL-GRI,HEE-046,Lione,XL,GRIGIO T.F,0,inventario
HEE-LIONE-XS-CIT,HEE-046,Lione,XS,CIOCCOLATO TF,0,inventario
HEE-LIONE-M-CIT,HEE-046,Lione,M,CIOCCOLATO TF,2,inventario
HEE-LIONE-XL-CIT,HEE-046,Lione,XL,CIOCCOLATO TF,0,inventario
HEE-LIVERPOO-S-SLV,HEE-047,Liverpool,S,SALVIA,2,inventario
HEE-LIVERPOO-M-SLV,HEE-047,Liverpool,M,SALVIA,0,inventario
HEE-LIVERPOO-L-SLV,HEE-047,Liverpool,L,SALVIA,1,inventario
HEE-LIVERPOO-XL-SLV,HEE-047,Liverpool,XL,SALVIA,1,inventario
HEE-LIVERPOO-XXL-SLV,HEE-047,Liverpool,XXL,SALVIA,1,inventario
HEE-LIVERPOO-S-CRE,HEE-047,Liverpool,S,CREMA,2,inventario
HEE-LIVERPOO-M-CRE,HEE-047,Liverpool,M,CREMA,1,inventario
HEE-LIVERPOO-L-CRE,HEE-047,Liverpool,L,CREMA,1,inventario
HEE-LIVERPOO-XL-CRE,HEE-047,Liverpool,XL,CREMA,1,inventario
HEE-LIVERPOO-XXL-CRE,HEE-047,Liverpool,XXL,CREMA,1,inventario
HEE-LIVERPOO-S-BIA,HEE-047,Liverpool,S,BIANCO,3,inventario
HEE-LIVERPOO-M-BIA,HEE-047,Liverpool,M,BIANCO,0,inventario
HEE-LIVERPOO-L-BIA,HEE-047,Liverpool,L,BIANCO,2,inventario
HEE-LIVERPOO-XL-BIA,HEE-047,Liverpool,XL,BIANCO,1,inventario
HEE-LIVERPOO-XXL-BIA,HEE-047,Liverpool,XXL,BIANCO,2,inventario
HEE-LIVERPOO-S-NER,HEE-047,Liverpool,S,NERO,1,inventario
HEE-LIVERPOO-M-NER,HEE-047,Liverpool,M,NERO,2,inventario
HEE-LIVERPOO-L-NER,HEE-047,Liverpool,L,NERO,2,inventario
HEE-LIVERPOO-XL-NER,HEE-047,Liverpool,XL,NERO,1,inventario
HEE-LIVERPOO-XXL-NER,HEE-047,Liverpool,XXL,NERO,1,inventario
HEE-LIVERPOO-S-PIO,HEE-047,Liverpool,S,PIOMBO,2,inventario
HEE-LIVERPOO-M-PIO,HEE-047,Liverpool,M,PIOMBO,1,inventario
HEE-LIVERPOO-L-PIO,HEE-047,Liverpool,L,PIOMBO,2,inventario
HEE-LIVERPOO-XL-PIO,HEE-047,Liverpool,XL,PIOMBO,1,inventario
HEE-LIVERPOO-XXL-PIO,HEE-047,Liverpool,XXL,PIOMBO,2,inventario
HEE-LIVERPOO-S-CAM,HEE-047,Liverpool,S,CAMMELLO,4,inventario
HEE-LIVERPOO-M-CAM,HEE-047,Liverpool,M,CAMMELLO,1,inventario
HEE-LIVERPOO-L-CAM,HEE-047,Liverpool,L,CAMMELLO,2,inventario
HEE-LIVERPOO-XL-CAM,HEE-047,Liverpool,XL,CAMMELLO,1,inventario
HEE-LIVERPOO-XXL-CAM,HEE-047,Liverpool,XXL,CAMMELLO,2,inventario
HEE-LIVERPOO-S-SAL,HEE-047,Liverpool,S,SALMONE,0,inventario
HEE-LIVERPOO-M-SAL,HEE-047,Liverpool,M,SALMONE,1,inventario
HEE-LIVERPOO-L-SAL,HEE-047,Liverpool,L,SALMONE,1,inventario
HEE-LIVERPOO-XL-SAL,HEE-047,Liverpool,XL,SALMONE,1,inventario
HEE-LIVERPOO-XXL-SAL,HEE-047,Liverpool,XXL,SALMONE,2,inventario
HEE-LIVERPOO-S-CIO,HEE-047,Liverpool,S,CIOCCOLATO,0,inventario
HEE-LIVERPOO-M-CIO,HEE-047,Liverpool,M,CIOCCOLATO,2,inventario
HEE-LIVERPOO-L-CIO,HEE-047,Liverpool,L,CIOCCOLATO,2,inventario
HEE-LIVERPOO-XL-CIO,HEE-047,Liverpool,XL,CIOCCOLATO,1,inventario
HEE-LIVERPOO-XXL-CIO,HEE-047,Liverpool,XXL,CIOCCOLATO,2,inventario
HEE-LONDRA-TU-CRE,HEE-048,Londra,TU,CREMA,4,inventario
HEE-LOSANGEL-M-BIA,HEE-049,Los Angeles,M,BIANCO,4,inventario
HEE-LOSANGEL-XL-BIA,HEE-049,Los Angeles,XL,BIANCO,4,inventario
HEE-LOSANGEL-M-NER,HEE-049,Los Angeles,M,NERO,16,inventario
HEE-LOSANGEL-XL-NER,HEE-049,Los Angeles,XL,NERO,8,inventario
HEE-LOSANGEL-M-CAM,HEE-049,Los Angeles,M,CAMMELLO,8,inventario
HEE-LOSANGEL-XL-CAM,HEE-049,Los Angeles,XL,CAMMELLO,4,inventario
HEE-MAIORCA-S-NER,HEE-050,Maiorca,S,NERO,0,inventario
HEE-MAIORCA-M-NER,HEE-050,Maiorca,M,NERO,2,inventario
HEE-MAIORCA-S-CRE,HEE-050,Maiorca,S,CREMA,4,inventario
HEE-MAIORCA-M-CRE,HEE-050,Maiorca,M,CREMA,2,inventario
HEE-MALAGA-S-AZZ,HEE-051,Malaga,S,AZZURRO,3,inventario
HEE-MALAGA-M-AZZ,HEE-051,Malaga,M,AZZURRO,0,inventario
HEE-MALAGA-L-AZZ,HEE-051,Malaga,L,AZZURRO,0,inventario
HEE-MALAGA-S-NER,HEE-051,Malaga,S,NERO,1,inventario
HEE-MALAGA-M-NER,HEE-051,Malaga,M,NERO,1,inventario
HEE-MALAGA-L-NER,HEE-051,Malaga,L,NERO,1,inventario
HEE-MALAGA-S-COR,HEE-051,Malaga,S,CORDA,1,inventario
HEE-MALAGA-M-COR,HEE-051,Malaga,M,CORDA,1,inventario
HEE-MALAGA-L-COR,HEE-051,Malaga,L,CORDA,1,inventario
HEE-MALAGA-S-BIA,HEE-051,Malaga,S,BIANCO,2,inventario
HEE-MALAGA-M-BIA,HEE-051,Malaga,M,BIANCO,1,inventario
HEE-MALAGA-L-BIA,HEE-051,Malaga,L,BIANCO,1,inventario
HEE-MALESIA-TU-NER,HEE-052,Malesia,TU,NERO,0,inventario
HEE-MALESIA-XS-NER,HEE-052,Malesia,XS,NERO,0,inventario
HEE-MALESIA-S-NER,HEE-052,Malesia,S,NERO,0,inventario
HEE-MALESIA-M-NER,HEE-052,Malesia,M,NERO,0,inventario
HEE-MALESIA-L-NER,HEE-052,Malesia,L,NERO,1,inventario
HEE-MALESIA-XL-NER,HEE-052,Malesia,XL,NERO,0,inventario
HEE-MALESIA-XXL-NER,HEE-052,Malesia,XXL,NERO,0,inventario
HEE-MALESIA-TU-GRI,HEE-052,Malesia,TU,GRIGIO TF.,0,inventario
HEE-MALESIA-XS-GRI,HEE-052,Malesia,XS,GRIGIO TF.,0,inventario
HEE-MALESIA-S-GRI,HEE-052,Malesia,S,GRIGIO TF.,0,inventario
HEE-MALESIA-M-GRI,HEE-052,Malesia,M,GRIGIO TF.,0,inventario
HEE-MALESIA-L-GRI,HEE-052,Malesia,L,GRIGIO TF.,1,inventario
HEE-MALESIA-XL-GRI,HEE-052,Malesia,XL,GRIGIO TF.,0,inventario
HEE-MALESIA-XXL-GRI,HEE-052,Malesia,XXL,GRIGIO TF.,0,inventario
HEE-MALESIA-TU-CIO,HEE-052,Malesia,TU,CIOCO   TF.,0,inventario
HEE-MALESIA-XS-CIO,HEE-052,Malesia,XS,CIOCO   TF.,0,inventario
HEE-MALESIA-S-CIO,HEE-052,Malesia,S,CIOCO   TF.,0,inventario
HEE-MALESIA-M-CIO,HEE-052,Malesia,M,CIOCO   TF.,3,inventario
HEE-MALESIA-L-CIO,HEE-052,Malesia,L,CIOCO   TF.,2,inventario
HEE-MALESIA-XL-CIO,HEE-052,Malesia,XL,CIOCO   TF.,0,inventario
HEE-MALESIA-XXL-CIO,HEE-052,Malesia,XXL,CIOCO   TF.,0,inventario
HEE-MALTA-TU-NER,HEE-053,Malta,TU,NERO,3,inventario
HEE-MALTA-TU-CRE,HEE-053,Malta,TU,CREMA,2,inventario
HEE-MALTA-TU-MOR,HEE-053,Malta,TU,MORO,3,inventario
HEE-MANHATTA-M-NER,HEE-054,Manhattan,M,NERO,1,inventario
HEE-MANHATTA-L-NER,HEE-054,Manhattan,L,NERO,1,inventario
HEE-MANHATTA-M-BIA,HEE-054,Manhattan,M,BIANCO,0,inventario
HEE-MANHATTA-L-BIA,HEE-054,Manhattan,L,BIANCO,1,inventario
HEE-MANHATTA-S-MOR,HEE-054,Manhattan,S,MORO T.F,1,inventario
HEE-MARRAKEC-M-AZZ,HEE-055,Marrakech,M,AZZURRO,2,inventario
HEE-MARRAKEC-L-AZZ,HEE-055,Marrakech,L,AZZURRO,2,inventario
HEE-MARRAKEC-XL-AZZ,HEE-055,Marrakech,XL,AZZURRO,0,inventario
HEE-MARRAKEC-M-NER,HEE-055,Marrakech,M,NERO,2,inventario
HEE-MARRAKEC-L-NER,HEE-055,Marrakech,L,NERO,2,inventario
HEE-MARRAKEC-XL-NER,HEE-055,Marrakech,XL,NERO,2,inventario
HEE-MARRAKEC-M-BIA,HEE-055,Marrakech,M,BIANCO,2,inventario
HEE-MARRAKEC-L-BIA,HEE-055,Marrakech,L,BIANCO,2,inventario
HEE-MARRAKEC-XL-BIA,HEE-055,Marrakech,XL,BIANCO,2,inventario
HEE-MARRAKEC-M-CRE,HEE-055,Marrakech,M,CREMA,2,inventario
HEE-MARRAKEC-L-CRE,HEE-055,Marrakech,L,CREMA,2,inventario
HEE-MARRAKEC-XL-CRE,HEE-055,Marrakech,XL,CREMA,2,inventario
HEE-MESSICO-XS-NER,HEE-056,Messico,XS,NERO,1,inventario
HEE-MESSICO-S-NER,HEE-056,Messico,S,NERO,1,inventario
HEE-MESSICO-M-NER,HEE-056,Messico,M,NERO,1,inventario
HEE-MESSICO-L-NER,HEE-056,Messico,L,NERO,1,inventario
HEE-MESSICO-XS-BIA,HEE-056,Messico,XS,BIANCO,1,inventario
HEE-MESSICO-S-BIA,HEE-056,Messico,S,BIANCO,1,inventario
HEE-MESSICO-M-BIA,HEE-056,Messico,M,BIANCO,1,inventario
HEE-MESSICO-L-BIA,HEE-056,Messico,L,BIANCO,2,inventario
HEE-MESSICO-XS-AZZ,HEE-056,Messico,XS,AZZURRO,1,inventario
HEE-MESSICO-S-AZZ,HEE-056,Messico,S,AZZURRO,1,inventario
HEE-MESSICO-M-AZZ,HEE-056,Messico,M,AZZURRO,1,inventario
HEE-MESSICO-L-AZZ,HEE-056,Messico,L,AZZURRO,1,inventario
HEE-MESSICO-XS-CRE,HEE-056,Messico,XS,CREMA,1,inventario
HEE-MESSICO-S-CRE,HEE-056,Messico,S,CREMA,1,inventario
HEE-MESSICO-M-CRE,HEE-056,Messico,M,CREMA,1,inventario
HEE-MESSICO-L-CRE,HEE-056,Messico,L,CREMA,1,inventario
HEE-MESSICO-XS-COR,HEE-056,Messico,XS,CORDA,1,inventario
HEE-MESSICO-S-COR,HEE-056,Messico,S,CORDA,1,inventario
HEE-MESSICO-M-COR,HEE-056,Messico,M,CORDA,1,inventario
HEE-MESSICO-L-COR,HEE-056,Messico,L,CORDA,1,inventario
HEE-MESSICO-XS-SAL,HEE-056,Messico,XS,SALMONE,1,inventario
HEE-MESSICO-S-SAL,HEE-056,Messico,S,SALMONE,1,inventario
HEE-MESSICO-M-SAL,HEE-056,Messico,M,SALMONE,1,inventario
HEE-MESSICO-L-SAL,HEE-056,Messico,L,SALMONE,1,inventario
HEE-MIAMI-S-NER,HEE-057,Miami,S,NERO,1,inventario
HEE-MIAMI-M-NER,HEE-057,Miami,M,NERO,1,inventario
HEE-MIAMI-L-NER,HEE-057,Miami,L,NERO,2,inventario
HEE-MIAMI-S-COR,HEE-057,Miami,S,CORDA,1,inventario
HEE-MIAMI-M-COR,HEE-057,Miami,M,CORDA,2,inventario
HEE-MIAMI-L-COR,HEE-057,Miami,L,CORDA,2,inventario
HEE-MIAMI-S-CRE,HEE-057,Miami,S,CREMA,3,inventario
HEE-MIAMI-M-CRE,HEE-057,Miami,M,CREMA,2,inventario
HEE-MIAMI-L-CRE,HEE-057,Miami,L,CREMA,3,inventario
HEE-MINORCA-S-NER,HEE-058,Minorca,S,NERO,1,inventario
HEE-MINORCA-M-NER,HEE-058,Minorca,M,NERO,1,inventario
HEE-MINORCA-L-NER,HEE-058,Minorca,L,NERO,0,inventario
HEE-MINORCA-XL-NER,HEE-058,Minorca,XL,NERO,0,inventario
HEE-MINORCA-XXL-NER,HEE-058,Minorca,XXL,NERO,0,inventario
HEE-MINORCA-S-CRE,HEE-058,Minorca,S,CREMA,3,inventario
HEE-MINORCA-M-CRE,HEE-058,Minorca,M,CREMA,0,inventario
HEE-MINORCA-L-CRE,HEE-058,Minorca,L,CREMA,0,inventario
HEE-MINORCA-XL-CRE,HEE-058,Minorca,XL,CREMA,0,inventario
HEE-MINORCA-XXL-CRE,HEE-058,Minorca,XXL,CREMA,0,inventario
HEE-MONTECAR-M-NER,HEE-059,Montecarlo,M,NERO,1,inventario
HEE-MONTECAR-L-NER,HEE-059,Montecarlo,L,NERO,3,inventario
HEE-MONTECAR-XL-NER,HEE-059,Montecarlo,XL,NERO,3,inventario
HEE-MONTECAR-M-CAM,HEE-059,Montecarlo,M,CAMMELLO,2,inventario
HEE-MONTECAR-L-CAM,HEE-059,Montecarlo,L,CAMMELLO,0,inventario
HEE-MONTECAR-XL-CAM,HEE-059,Montecarlo,XL,CAMMELLO,2,inventario
HEE-MUMBAI-S-MUL,HEE-061,Mumbai,S,MULTICOLOR,2,inventario
HEE-MUMBAI-M-MUL,HEE-061,Mumbai,M,MULTICOLOR,2,inventario
HEE-MUMBAI-L-MUL,HEE-061,Mumbai,L,MULTICOLOR,2,inventario
HEE-MYKONOS-M-NER,HEE-062,Mykonos,M,NERO,1,inventario
HEE-MYKONOS-L-NER,HEE-062,Mykonos,L,NERO,1,inventario
HEE-MYKONOS-XL-NER,HEE-062,Mykonos,XL,NERO,1,inventario
HEE-MYKONOS-M-COR,HEE-062,Mykonos,M,CORDA,2,inventario
HEE-MYKONOS-L-COR,HEE-062,Mykonos,L,CORDA,3,inventario
HEE-MYKONOS-XL-COR,HEE-062,Mykonos,XL,CORDA,2,inventario
HEE-MYKONOS-M-CRE,HEE-062,Mykonos,M,CREMA,1,inventario
HEE-MYKONOS-L-CRE,HEE-062,Mykonos,L,CREMA,3,inventario
HEE-MYKONOS-XL-CRE,HEE-062,Mykonos,XL,CREMA,0,inventario
HEE-NAIROBI-TU-CRE,HEE-063,Nairobi,TU,CREMA,0,inventario
HEE-NAIROBI-XS-CRE,HEE-063,Nairobi,XS,CREMA,0,inventario
HEE-NAIROBI-S-CRE,HEE-063,Nairobi,S,CREMA,0,inventario
HEE-NAIROBI-M-CRE,HEE-063,Nairobi,M,CREMA,0,inventario
HEE-NAIROBI-L-CRE,HEE-063,Nairobi,L,CREMA,0,inventario
HEE-NAIROBI-XL-CRE,HEE-063,Nairobi,XL,CREMA,5,inventario
HEE-NAIROBI-XXL-CRE,HEE-063,Nairobi,XXL,CREMA,0,inventario
HEE-NEVADA-TU-VER,HEE-064,Nevada,TU,VERDE,0,inventario
HEE-NEVADA-XS-VER,HEE-064,Nevada,XS,VERDE,0,inventario
HEE-NEVADA-S-VER,HEE-064,Nevada,S,VERDE,0,inventario
HEE-NEVADA-M-VER,HEE-064,Nevada,M,VERDE,4,inventario
HEE-NEVADA-L-VER,HEE-064,Nevada,L,VERDE,0,inventario
HEE-NEVADA-XL-VER,HEE-064,Nevada,XL,VERDE,0,inventario
HEE-NEVADA-XXL-VER,HEE-064,Nevada,XXL,VERDE,0,inventario
HEE-NEWYORK-S-NER,HEE-065,New York,S,NERO,1,inventario
HEE-NEWYORK-M-NER,HEE-065,New York,M,NERO,1,inventario
HEE-NEWYORK-L-NER,HEE-065,New York,L,NERO,1,inventario
HEE-NEWYORK-S-CIO,HEE-065,New York,S,CIOCCOLATO,2,inventario
HEE-NEWYORK-M-CIO,HEE-065,New York,M,CIOCCOLATO,3,inventario
HEE-NEWYORK-L-CIO,HEE-065,New York,L,CIOCCOLATO,1,inventario
HEE-NEWYORK-S-VER,HEE-065,New York,S,VERDE,2,inventario
HEE-NEWYORK-M-VER,HEE-065,New York,M,VERDE,3,inventario
HEE-NEWYORK-L-VER,HEE-065,New York,L,VERDE,1,inventario
HEE-NEWYORK-S-PIO,HEE-065,New York,S,PIOMBO,2,inventario
HEE-NEWYORK-M-PIO,HEE-065,New York,M,PIOMBO,2,inventario
HEE-NEWYORK-L-PIO,HEE-065,New York,L,PIOMBO,0,inventario
HEE-NIZZA-M-NER,HEE-066,Nizza,M,NERO,2,inventario
HEE-NIZZA-L-NER,HEE-066,Nizza,L,NERO,1,inventario
HEE-NIZZA-XL-NER,HEE-066,Nizza,XL,NERO,3,inventario
HEE-NIZZA-M-BIA,HEE-066,Nizza,M,BIANCO,1,inventario
HEE-NIZZA-L-BIA,HEE-066,Nizza,L,BIANCO,1,inventario
HEE-NIZZA-XL-BIA,HEE-066,Nizza,XL,BIANCO,1,inventario
HEE-NIZZA-M-CAM,HEE-066,Nizza,M,CAMMELLO,3,inventario
HEE-NIZZA-L-CAM,HEE-066,Nizza,L,CAMMELLO,3,inventario
HEE-NIZZA-XL-CAM,HEE-066,Nizza,XL,CAMMELLO,2,inventario
HEE-NIZZA-M-PIO,HEE-066,Nizza,M,PIOMBO,2,inventario
HEE-NIZZA-L-PIO,HEE-066,Nizza,L,PIOMBO,3,inventario
HEE-NIZZA-XL-PIO,HEE-066,Nizza,XL,PIOMBO,2,inventario
HEE-NORVEGIA-M-NER,HEE-067,Norvegia,M,NERO,4,inventario
HEE-OSAKA-XS-AZZ,HEE-068,Osaka,XS,AZZURRO,1,inventario
HEE-OSAKA-S-AZZ,HEE-068,Osaka,S,AZZURRO,1,inventario
HEE-OSAKA-M-AZZ,HEE-068,Osaka,M,AZZURRO,2,inventario
HEE-OSAKA-XS-BIA,HEE-068,Osaka,XS,BIANCO,2,inventario
HEE-OSAKA-S-BIA,HEE-068,Osaka,S,BIANCO,1,inventario
HEE-OSAKA-M-BIA,HEE-068,Osaka,M,BIANCO,2,inventario
HEE-OSAKA-L-BIA,HEE-068,Osaka,L,BIANCO,0,inventario
HEE-OSAKA-XS-NER,HEE-068,Osaka,XS,NERO,1,inventario
HEE-OSAKA-S-NER,HEE-068,Osaka,S,NERO,1,inventario
HEE-OSAKA-M-NER,HEE-068,Osaka,M,NERO,1,inventario
HEE-OSAKA-L-NER,HEE-068,Osaka,L,NERO,2,inventario
HEE-OSLO-XS-GRI,HEE-069,Oslo,XS,GRIGIO,0,inventario
HEE-OSLO-S-GRI,HEE-069,Oslo,S,GRIGIO,0,inventario
HEE-OSLO-M-GRI,HEE-069,Oslo,M,GRIGIO,2,inventario
HEE-OSLO-L-GRI,HEE-069,Oslo,L,GRIGIO,1,inventario
HEE-OSLO-TU-GRI,HEE-069,Oslo,TU,GRIGIO,0,inventario
HEE-OSLO-XL-GRI,HEE-069,Oslo,XL,GRIGIO,0,inventario
HEE-OSLO-XXL-GRI,HEE-069,Oslo,XXL,GRIGIO,0,inventario
HEE-OSLO-XS-CRE,HEE-069,Oslo,XS,CREMA,0,inventario
HEE-OSLO-S-CRE,HEE-069,Oslo,S,CREMA,0,inventario
HEE-OSLO-M-CRE,HEE-069,Oslo,M,CREMA,3,inventario
HEE-OSLO-L-CRE,HEE-069,Oslo,L,CREMA,0,inventario
HEE-OSLO-XS-NER,HEE-069,Oslo,XS,NERO,0,inventario
HEE-OSLO-S-NER,HEE-069,Oslo,S,NERO,0,inventario
HEE-OSLO-M-NER,HEE-069,Oslo,M,NERO,5,inventario
HEE-OSLO-L-NER,HEE-069,Oslo,L,NERO,0,inventario
HEE-OSLO-XS-NEG,HEE-069,Oslo,XS,NERO/GRIGIO,0,inventario
HEE-OSLO-S-NEG,HEE-069,Oslo,S,NERO/GRIGIO,3,inventario
HEE-OSLO-M-NEG,HEE-069,Oslo,M,NERO/GRIGIO,5,inventario
HEE-OSLO-L-NEG,HEE-069,Oslo,L,NERO/GRIGIO,0,inventario
HEE-OSLO-TU-NEG,HEE-069,Oslo,TU,NERO/GRIGIO,0,inventario
HEE-OSLO-XL-NEG,HEE-069,Oslo,XL,NERO/GRIGIO,0,inventario
HEE-OSLO-XXL-NEG,HEE-069,Oslo,XXL,NERO/GRIGIO,0,inventario
HEE-OSLO-XS-ROS,HEE-069,Oslo,XS,ROSA/VERDE,0,inventario
HEE-OSLO-S-ROS,HEE-069,Oslo,S,ROSA/VERDE,0,inventario
HEE-OSLO-M-ROS,HEE-069,Oslo,M,ROSA/VERDE,5,inventario
HEE-OSLO-L-ROS,HEE-069,Oslo,L,ROSA/VERDE,2,inventario
HEE-OSLO-TU-ROS,HEE-069,Oslo,TU,ROSA/VERDE,0,inventario
HEE-OSLO-XL-ROS,HEE-069,Oslo,XL,ROSA/VERDE,0,inventario
HEE-OSLO-XXL-ROS,HEE-069,Oslo,XXL,ROSA/VERDE,0,inventario
HEE-OXFORD-S-NER,HEE-070,Oxford,S,NERO,1,inventario
HEE-OXFORD-L-NER,HEE-070,Oxford,L,NERO,1,inventario
HEE-OXFORD-S-PIO,HEE-070,Oxford,S,PIOMBO,3,inventario
HEE-OXFORD-L-PIO,HEE-070,Oxford,L,PIOMBO,2,inventario
HEE-OXFORD-S-CRE,HEE-070,Oxford,S,CREMA,1,inventario
HEE-OXFORD-L-CRE,HEE-070,Oxford,L,CREMA,4,inventario
HEE-PALERMO-S-CRE,HEE-071,Palermo,S,CREMA,3,inventario
HEE-PALERMO-M-CRE,HEE-071,Palermo,M,CREMA,5,inventario
HEE-PALERMO-L-CRE,HEE-071,Palermo,L,CREMA,1,inventario
HEE-PALERMO-S-SAL,HEE-071,Palermo,S,SALMONE,2,inventario
HEE-PALERMO-M-SAL,HEE-071,Palermo,M,SALMONE,4,inventario
HEE-PALERMO-L-SAL,HEE-071,Palermo,L,SALMONE,2,inventario
HEE-PALERMO-S-AZZ,HEE-071,Palermo,S,AZZURRO,2,inventario
HEE-PALERMO-M-AZZ,HEE-071,Palermo,M,AZZURRO,3,inventario
